MGI_symbol	Aylor_TCDD_Female_adult	Bartolomei_BPA10mg_Female_adult	Bartolomei_BPA10ug_Female_adult	Biswal_PM2.5_Female_adult	Mutlu_PM2.5_Female_adult	Zhibin_As_Female_adult	Walker_TBT_Female_adt	Bartolomei_BPA10mg_Male_adult	Bartolomei_BPA10ug_Male_adult	Biswal_PM2.5_Male_adult	Dolinoy_Pb_Male_adult	Mutlu_PM2.5_Male_adult	Zhibin_As_Male_adult	Walker_TBT_Male_adt	Function	Modification	Function_v2	Modification_v2
Smyd4	0	0	0	0	0	0	0	0	0	-0.694802421	0	0	0	0	Histone modification erase cofactor	Histone acetylation	Histone modification	Histone acetylation
Spen	0	0	0	0	0	0	0	0	0	0	0	0	0.709264701	0	"Histone modification erase cofactor, TF"	"Histone acetylation, TF activator, TF repressor"	Histone modification	Histone acetylation
Suds3	0	0	0	0	0	0	0	0	-0.616655656	0	0	0	0	0	Histone modification erase cofactor	Histone acetylation	Histone modification	Histone acetylation
Zfp516	0	0	0	0	0	0	0	0	0	0.617163519	0	0	0	0	"Histone modification erase cofactor, TF"	"Histone acetylation, TF repressor"	Histone modification	Histone acetylation
Atf2	0	-0.62192476	0	0	0	0	0	0	0	0	0	0	0	0	"Histone modification write, TF"	"Histone acetylation, TF activator"	Histone modification	Histone acetylation
Clock	0	0	0	0	0	0	0	0	0	0.666109765	0	0	0	0	Histone modification write	Histone acetylation	Histone modification	Histone acetylation
Crebbp	0	0	0	0	0	0	0.910934021	0	0	0	0	0	0	0	Histone modification write	Histone acetylation	Histone modification	Histone acetylation
Elp3	0	0	0	0	0	0	0	0	0	0	0	0.588463085	0	0	Histone modification write	Histone acetylation	Histone modification	Histone acetylation
Jade3	0	-0.912324011	0	0	0	0	0	0	0	0	0	0	0	0	Histone modification write	Histone acetylation	Histone modification	Histone acetylation
Ncoa1	0	-0.626728318	0	0	0	0	0	0	0	0	0	0	0	0	Histone modification write	Histone acetylation	Histone modification	Histone acetylation
Trim16	0	0	0	0	0	0	0	0	0	0.804344753	0	0	0	0	Histone modification write	Histone acetylation	Histone modification	Histone acetylation
Arid4a	0	0	0	0	0	0	0	0.660242558	0	0	0	0	0	0	Histone modification write cofactor	Histone acetylation	Histone modification	Histone acetylation
Arid4b	0	0	0	0	0	0	0.70269988	0.729426033	0	0	0	0	0	0	Histone modification write cofactor	Histone acetylation	Histone modification	Histone acetylation
Brca1	0	-0.664125565	0	0	0	0	0.61826886	0	0	0	0	0	0	0	"Histone modification write cofactor, TF"	"Histone acetylation, Histone methylation, Histone ubiquitination, TF activator, TF repressor"	Histone modification	Histone acetylation
Brpf3	0	0	0	0	0	0	0.639842013	0	0	0	0	-0.75954014	0	0	Histone modification write cofactor	Histone acetylation	Histone modification	Histone acetylation
Eid1	0	0	0	0	0	0	0	0	0	0	0	0	-0.60835567	0	Histone modification write cofactor	Histone acetylation	Histone modification	Histone acetylation
Elp4	0	0	0	-1.532287215	0	0	0	0	0	0	0	0	0	0	Histone modification write cofactor	Histone acetylation	Histone modification	Histone acetylation
Elp6	0	0.868100674	0	0	0	0	0	0	0	0	0	0	0	0	Histone modification write cofactor	Histone acetylation	Histone modification	Histone acetylation
Tada2b	0	-0.65024864	0	0	0	0	0	0	0	0	0	0	0	0	Histone modification write cofactor	Histone acetylation	Histone modification	Histone acetylation
Yeats4	0	0.604057149	0	0	0	0	0	0	0	0	0	0	0	0	Histone modification write cofactor	Histone acetylation	Histone modification	Histone acetylation
Zbtb33	0	-1.433013656	0	0	0	0	0.619517149	0	0	0.795516319	-0.694970139	0	0	1.076566106	"Histone modification write cofactor, Histone modification erase cofactor, TF"	"Histone acetylation, Histone methylation, TF repressor"	Histone modification	Histone acetylation
Eed	0	0	0	0	0	0	0	0	0	0	0	0	0	0.635942098	Polycomb group (PcG) protein	#	Polycomb group (PcG) protein	Polycomb group (PcG) protein
Pcgf1	0	0.729502791	0	0	0	0	0	0	0	0	0	0	0	0	Polycomb group (PcG) protein	#	Polycomb group (PcG) protein	Polycomb group (PcG) protein
Pcgf6	0	0	0	0	0	0	0	0	0	0	0	0.647808048	0	0	Polycomb group (PcG) protein	#	Polycomb group (PcG) protein	Polycomb group (PcG) protein
Phc3	0	0	0	0	0	0	0	0	0	0.813459298	0	0	0	0.630900009	Polycomb group (PcG) protein	#	Polycomb group (PcG) protein	Polycomb group (PcG) protein
Rybp	0	-1.174831678	0	0	0	0	0	0	0	0	0	0	0	0	Polycomb group (PcG) protein	#	Polycomb group (PcG) protein	Polycomb group (PcG) protein
Dnd1	0	0.998053525	0	0	0	0	0	0	0	0	0	0	0	0	RNA modification	#	RNA modification	RNA modification
Sf3b1	0	0	0	-0.625247079	0	0	0	0	0	0	0	0	0	0	RNA modification	#	RNA modification	RNA modification
Syncrip	0	0	0	0	0	0	0	0	0	0	0	0	0	0.585466661	RNA modification	mRNA editing	RNA modification	RNA modification
Exosc3	0	0	0	0	0	0	0	0.64153119	0	0	0	0	0	0	"Scaffold protein, RNA modification"	RNA degradation	RNA modification	RNA modification
Exosc4	0	0	0	0	0	0	-0.641179307	0	0	0	0	0	0	0	"Scaffold protein, RNA modification"	RNA degradation	RNA modification	RNA modification
Exosc5	0	0.680376082	0	0	0	0	0	0	0	0	0	0	0	0	"Scaffold protein, RNA modification"	RNA degradation	RNA modification	RNA modification
